"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"R29","DTS_8","Top","Res_0603","85.8000","43.8500","180","DTS_8 Thermistor: 101k R22: 5.1k"
"R28","DTS_7","Top","Res_0603","88.8250","43.8500","0","DTS_7 Thermistor: 101k R21: 5.1k"
"R27","DTS_6","Top","Res_0603","91.8750","43.8500","180","DTS_6 Thermistor: 101k R20: 5.1k"
"R26","DTS_5","Top","Res_0603","94.9000","43.8500","0","DTS_5 Thermistor: 101k R19: 5.1k"
"R25","10k","Top","Res_0603","94.8750","37.9250","270","C25804"
"R24","10k","Top","Res_0603","99.9000","37.9250","270","C25804"
"Q7","AO3400A","Top","FP-SOT23-MFG","97.3750","38.3000","180","MOSFET N-CH 30V 5.7A SOT23"
"JUMP4","Solder jumper","Top","jumper","119.1250","51.9945","270",""
"J4","kontakt 5p 5.08","Top","Kontakt_5P_3.5","81.2785","45.5740","270",""
"C21","C0603","Top","Cap_0603","85.8000","42.4250","0","C96446"
"C20","C0603","Top","Cap_0603","88.8250","42.4250","180","C96446"
"C19","C0603","Top","Cap_0603","91.8750","42.4250","0","C96446"
"C18","10uf","Top","Cap_0603","94.9000","42.4250","180","C96446"
"C17","0.1uF","Top","Cap_0603","90.5000","35.7000","180","C14663"
"ADC 4","ADS1115","Top","TSSOP50P490X110-10N_ADS1115","90.3000","38.2500","180","4-Channel Single ADC Delta-Sigma 860sps 16-bit Serial 10-Pin VSSOP T/R"
"D1","TVS","Top","DO-214AA_P6SMB","157.8000","38.6500","0","jlc: C78395"
"R23","100k","Top","Res_0603","155.7000","43.7250","0",""
"Q6","AO3401A","Top","AO-SOT-23-3L_V","159.2000","42.7750","0","P-Channel MOSFET, 30 V, 4 A, -55 to 150 degC, 3-Pin SOT-23-3L, RoHS, Tape and Reel"
"C16","UWX1C100MCL2GB","Top","FP-UWX1C100MCL2GB-MFG","159.2750","50.8500","0","UWX1C100MCL2GB WX Series 10 uF 16 V 85°C Ø3 x 5.4 mm SMT Chip Aluminum Electrolytic Cap"
"JUMP3","Solder jumper","Top","jumper","115.5000","52.0055","270",""
"JUMP2","Solder jumper","Top","jumper","116.7000","51.9945","270",""
"JUMP1","Solder jumper","Top","jumper","117.9000","51.9945","270",""
"R10","10k","Top","Res_0603","112.9000","38.2500","270","C25804"
"R9","10k","Top","Res_0603","117.9000","38.2500","270","C25804"
"R5","10k","Top","Res_0603","152.3250","38.2750","270","C25804"
"R11","9.1k ATS","Top","Res_0603","149.4750","43.9000","0","ATS Thermistor: 270-333k R11: 9.1k"
"R4","10k","Top","Res_0603","135.8250","42.4750","0","C25804"
"R8","10k","Top","Res_0603","129.9500","38.3000","270","C25804"
"R2","10k","Top","Res_0603","135.8250","43.8750","0","C25804"
"R3","10k","Top","Res_0603","127.8000","50.0000","90","C25804"
"R1","10k","Top","Res_0603","132.8000","50.0000","90","C25804"
"R7","10k","Top","Res_0603","134.9500","38.3000","270","C25804"
"R6","10k","Top","Res_0603","147.3250","38.2750","270","C25804"
"R12","5.1k MTS","Top","Res_0603","146.4750","43.9000","180","MTS Thermistor: 103k R12: 5.1k"
"R19","DTS_5","Top","Res_0603","112.6000","43.9500","0","DTS_5 Thermistor: 101k R19: 5.1k"
"R16","DTS_2","Top","Res_0603","126.7500","44.0000","180","DTS_2 Thermistor: 101k R16: 5.1k"
"R15","5.1k","Top","Res_0603","129.7500","44.0000","0","DTS_1 Thermistor: 101k R15: 5.1k"
"R18","DTS_4","Top","Res_0603","120.7500","44.0000","180","DTS_4 Thermistor: 101k R18: 5.1k"
"R21","DTS_7","Top","Res_0603","106.6000","43.9500","0","DTS_7 Thermistor: 101k R21: 5.1k"
"R22","DTS_8","Top","Res_0603","103.6000","43.9500","180","DTS_8 Thermistor: 101k R22: 5.1k"
"R13","3.3k HEX","Top","Res_0603","143.4750","43.9000","0","HEX Thermistor: 96k R13: 3.3k"
"R20","DTS_6","Top","Res_0603","109.6000","43.9500","180","DTS_6 Thermistor: 101k R20: 5.1k"
"R17","DTS_3","Top","Res_0603","123.7500","44.0000","0","DTS_3 Thermistor: 101k R17: 5.1k"
"R14","3.3k EVAP","Top","Res_0603","140.4750","43.9000","180","EVAP Thermistor: 96k R14: 3.3k"
"J3","kontakt 5p 5.08","Top","Kontakt_5P_3.5","100.4990","57.4965","180",""
"J2","kontakt 5p 5.08","Top","Kontakt_5P_3.5","119.6020","57.4965","180",""
"J1","kontakt 5p 5.08","Top","Kontakt_5P_3.5","138.6328","57.5355","180",""
"J6","kontakt 2p 5.08","Top","Kontakt_2P_5.08","154.5590","55.7530","180",""
"Q5","AO3400A","Top","FP-SOT23-MFG","115.4000","38.6500","180","MOSFET N-CH 30V 5.7A SOT23"
"Q4","AO3400A","Top","FP-SOT23-MFG","132.4500","38.7000","180","MOSFET N-CH 30V 5.7A SOT23"
"Q3","AO3400A","Top","FP-SOT23-MFG","149.8250","38.6750","180","MOSFET N-CH 30V 5.7A SOT23"
"Q2","AO3400A","Top","FP-SOT23-MFG","130.3000","50.3000","0","MOSFET N-CH 30V 5.7A SOT23"
"Q1","AO3400A","Top","FP-SOT23-MFG","135.3000","50.4000","0","MOSFET N-CH 30V 5.7A SOT23"
"ADC 3","ADS1115","Top","TSSOP50P490X110-10N_ADS1115","108.3000","38.6500","180","4-Channel Single ADC Delta-Sigma 860sps 16-bit Serial 10-Pin VSSOP T/R"
"ADC 2","ADS1115","Top","TSSOP50P490X110-10N_ADS1115","125.4500","38.7000","180","4-Channel Single ADC Delta-Sigma 860sps 16-bit Serial 10-Pin VSSOP T/R"
"ADC 1","ADS1115","Top","TSSOP50P490X110-10N_ADS1115","142.2250","38.6500","180","4-Channel Single ADC Delta-Sigma 860sps 16-bit Serial 10-Pin VSSOP T/R"
"U1","ESP32 olimex PINOUT","Top","ESP32_OLIMEX_POE","125.5776","41.6250","90",""
"C15","C0603","Top","Cap_0603","103.6000","42.5500","0","C96446"
"C14","C0603","Top","Cap_0603","106.6000","42.5500","180","C96446"
"C13","C0603","Top","Cap_0603","109.6000","42.5500","0","C96446"
"C12","10uf","Top","Cap_0603","112.6000","42.5500","180","C96446"
"C11","0.1uF","Top","Cap_0603","108.4000","36.0500","180","C14663"
"C10","C0603","Top","Cap_0603","120.7500","42.6000","0","C96446"
"C9","C0603","Top","Cap_0603","123.7500","42.6000","180","C96446"
"C8","C0603","Top","Cap_0603","126.7500","42.6000","0","C96446"
"C7","C0603","Top","Cap_0603","129.7500","42.6000","180","C96446"
"C6","0.1uF","Top","Cap_0603","125.4500","36.1000","180","C14663"
"C5","C0603","Top","Cap_0603","140.4750","42.5000","0","C96446"
"C4","C0603","Top","Cap_0603","143.4750","42.5000","180","C96446"
"C3","C0603","Top","Cap_0603","146.4750","42.5000","0","C96446"
"C2","C0603","Top","Cap_0603","149.4750","42.5000","180","C96446"
"C1","0.1uF","Top","Cap_0603","142.1250","36.0500","180","C14663"
